form,ideophone,item,concept,meaning,status,foil,order
yoroyoro,y,practice,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,1
fuwafuwa,y,practice,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,2
katai,n,control,HARD,HARD,iconic,nuhua|zuwua|ruyua,3
pyoNpyoN,y,control,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,4
hisohiso,y,control,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,5
tyikutyiku,y,trial,CRAMPING (STOMACH),CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),iconic,wani|yazi|gari,6
syiQpori,y,trial,WET,WET|SOGGY|DAMP,iconic,rasyeha|nawekya|mayeka,7
kapokapo,y,trial,SLOSHING,SLOSHING|SPLASHING,iconic,nusye|zuwe|ruye,8
yakiyaki,y,trial,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,iconic,tuna|tyuza|tsura,9
darui,n,trial,SLUGGISH,SLUGGISH|LETHARGIC,iconic,wuhia|yukyia|hukia,10
igaiga,y,trial,PRICKLING,PRICKLING|TINGLING,iconic,aru|asu|atyu,11
zawazawa,y,trial,(SPINE) TINGLING,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),iconic,guzyu|kyutyu|kutsu,12
hirihiri,y,trial,THROBBING,THROBBING|PULSATING,iconic,naha|dzakya|zyaka,13
hetoheto,y,trial,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,nohe|dzowe|zyoye,14
suzusyii,n,trial,COOL,COOL|FRESH,iconic,kigira|mikyina|gikima,15
zuruNzuruN,y,trial,SLIMY,SLIMY|GOOEY,iconic,gihiQ|kyikyiQ|kikiQ,16
omoi,n,trial,OILY/HEAVY (FOOD),OILY/HEAVY (food),iconic,etyea|esea|esyea,17
suQkoi,n,trial,CUNNING,CUNNING|SLY|SNEAKY,iconic,kinea|mizea|girea,18
tyiraatyiraa,y,trial,STINGING (PAIN),"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",iconic,wahu|yakyu|gaku,19
nebaneba,y,trial,SLIMY,SLIMY|GOOEY,iconic,syotyu|kohu|hosyu,20
serasera,y,trial,PRICKLING,PRICKLING|TINGLING,iconic,kohu|mokyu|goku,21
oQkanai,n,trial,SCARY,SCARY|FRIGHTENING,iconic,enusyua|ezukua|eruhua,22
kaii,n,trial,ITCHING,ITCHING|PRICKLING,prosaic,nua|zua|rua,23
kooru,n,trial,FREEZE,FREEZE,prosaic,nehi|zekyi|reki,24
hidarui,n,trial,HUNGRY,HUNGRY|STARVING,prosaic,nawuhia|dzayukyia|zyahukia,25
sabaku,n,trial,TEAR,TEAR|RIP,prosaic,kutyuni|muhuzi|gusyuri,26
omoreru,n,trial,HUMID,HUMID|MUGGY,prosaic,etyehohi|esekyokyi|esyekoki,27
dareta,n,trial,EXHAUSTED,WORN OUT|TIRED|WEARY|EXHAUSTED,prosaic,wuhohu|yukyowu|hukoyu,28
mizukusai,n,trial,WEAK,BLAND (taste)|TASTELESS|WATERY (taste),prosaic,tyaginikua|sakyizimua|syakirigua,29
kawaku,n,trial,DRY,DRY|PARCHED,prosaic,nuzyuni|zutyuzi|rutsuri,30
kitsuka,n,trial,SLUGGISH,SLUGGISH|LETHARGIC,prosaic,nahinu|zawizu|rayiru,31
niyaniya,y,trial,CRAMPING (STOMACH),CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),iconic,syatu|katyu|hatsu,37
zyimezyime,y,trial,HUMID,HUMID|MUGGY,iconic,matyo|waso|hasyo,38
zoNzoN,y,trial,(SPINE) TINGLING,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),iconic,geQ|kyeQ|keQ,39
tyikutyiku,y,trial,ITCHING,ITCHING|PRICKLING,iconic,wani|yazi|gari,40
