letter,ipa,group,substitute
m,m,consonants,
p,p,consonants,
b,b,consonants,
f,f,consonants,
n,n,consonants,
ts,ts,consonants,
dz,dz,consonants,
t,t,consonants,
d,d,consonants,
s,s,consonants,
z,z,consonants,
zy,dʒ,consonants,
r,ɾ,consonants,
sy,ʃ,consonants,
ty,tʃ,consonants,
k,k,consonants,
g,ɡ,consonants,
w,w,consonants,
y,j,consonants,
h,h,consonants,
m,m,consonants,
n,n,consonants,
ky,kʲ,consonants,
py,pʲ,consonants,
a,a,vowels,u|i
i,i,vowels,a|u
u,ɯ,vowels,i|a
e,e,vowels,o
o,o,vowels,e
N,ɴ,finals,
Q,ʔ,finals,
ii,iː,vowels,a|u
oo,oː,vowels,e
uu,ɯː,vowels,i|a
aa,aː,vowels,u|i
ee,eː,vowels,o
Qt,tː,consonants,
Qp,pː,consonants,
Qk,kː,consonants,
Qd,dː,consonants,
Qb,bː,consonants,
Qg,gː,consonants,
