ProlificID,Native,Otherlangs,Taskdesc,experiment,trial,trans,rating,rt,form,identifier
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,1,FLUFFY,5,6991,fuwafuwa,fuwafuwa_FLUFFY
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,2,WOBBLING,6,1293,yoroyoro,yoroyoro_WOBBLING
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,3,SLIGHTLY,0,1022,tyobiQto,tyobiQto_A LITTLE
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,4,WEARY,1,1307,hoQkori,hoQkori_EXHAUSTED
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,5,EXHAUSTED,1,1047,syiNdo,syiNdo_EXHAUSTED
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,6,ANNOYED,3,1585,yaNdagunaruQ,yaNdagunaruQ_ANNOYED
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,7,SPEEDY,3,1264,hayai,hayai_FAST
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,8,TINGLING,4,1755,hirihiri,hirihiri_BURNING
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,9,WET,0,841,syimeQpoi,syimeQpoi_WET
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,10,DRUMMING (E.G. HEART),5,989,dokidoki,dokidoki_POUNDING (e.g. heart)
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,11,RUDE,3,1425,adzu,adzu_RUDE
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,12,PRICKLING,3,1873,syikasyika,syikasyika_ITCHING
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,13,FREEZE,1,952,syibareru,syibareru_FREEZE
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,14,QUIET,2,3411,syiiN,syiiN_QUIET
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,15,PULSATING,4,1223,zuNzuN,zuNzuN_THROBBING
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,16,REFRESHED,1,1496,haQkiri,haQkiri_CLEAR
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,17,IMPATIENT,2,1854,zyireQtai,zyireQtai_ANNOYED
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,18,LETHARGIC,3,1446,naNgii,naNgii_SLUGGISH
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,19,GOOEY,3,1062,nurunuru,nurunuru_STICKY
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,20,BRAZEN,0,1575,tyiputoi,tyiputoi_RUDE
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,21,TICKLING,5,2079,kosobai,kosobai_TICKLING
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,22,TIRED,0,1081,kutabireta,kutabireta_EXHAUSTED
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,23,TEAR,0,1327,yabuku,yabuku_TEAR
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,24,LETHARGIC,2,1569,erai,erai_SLUGGISH
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,25,TINY,2,1103,hosoi,hosoi_SMALL
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,26,PRICKLING,4,1280,kaii,kaii_PRICKLING
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,27,TICKLING,2,1456,kusuguQtee,kusuguQtee_TICKLING
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,28,OILY/HEAVY (FOOD),1,5718,aburaQkoi,aburaQkoi_OILY/HEAVY (food)
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,29,SCRATCH,3,1590,kakazyiru,kakazyiru_SCRATCH
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,30,DAZZLING,2,1116,hidoroQko,hidoroQko_GLARING (light)
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,31,BIND,1,1436,kubiru,kubiru_BIND
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,32,HARD,3,1384,katai,katai_HARD
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,33,BOUNCING,5,2495,pyoNpyoN,pyoNpyoN_BOUNCING
5cb107406b91550001c89741,English,"French, Spanish",Rating how much the sound of words resembled their meaning,1,34,WHISPERING,4,825,hisohiso,hisohiso_WHISPERING
6132572d113873b90f0c378d,english,none,hearing Japanese words and deciding if they sound like their meaning,1,1,FLUFFY,3,11221,fuwafuwa,fuwafuwa_FLUFFY
6132572d113873b90f0c378d,english,none,hearing Japanese words and deciding if they sound like their meaning,1,2,WOBBLING,5,2499,yoroyoro,yoroyoro_WOBBLING
6132572d113873b90f0c378d,english,none,hearing Japanese words and deciding if they sound like their meaning,1,3,SLIGHTLY,2,3588,tyobiQto,tyobiQto_A LITTLE
6132572d113873b90f0c378d,english,none,hearing Japanese words and deciding if they sound like their meaning,1,4,TIRED,2,1401,hoQkori,hoQkori_EXHAUSTED
6132572d113873b90f0c378d,english,none,hearing Japanese words and deciding if they sound like their meaning,1,5,EXHAUSTED,2,2973,syiNdo,syiNdo_EXHAUSTED
6132572d113873b90f0c378d,english,none,hearing Japanese words and deciding if they sound like their meaning,1,6,IMPATIENT,2,4439,yaNdagunaruQ,yaNdagunaruQ_ANNOYED
6132572d113873b90f0c378d,english,none,hearing Japanese words and deciding if they sound like their meaning,1,7,QUICK,3,5605,hayai,hayai_FAST
6132572d113873b90f0c378d,english,none,hearing Japanese words and deciding if they sound like their meaning,1,8,TINGLING,2,6090,hirihiri,hirihiri_BURNING
6132572d113873b90f0c378d,english,none,hearing Japanese words and deciding if they sound like their meaning,1,9,DAMP,2,1220,syimeQpoi,syimeQpoi_WET
