Timestamp,exp,Prolific.ID,concept,word,answer,RT,Native.Language,Other.Languages,Unknown.words,Which.words,Task.Description,answer_sen,foil_sen,time_taken
4/09/2020 12:37,14,5eefc6bbb188574bdee7c13b,AFRAID-2,kowa,correct,1282,English,,no,NA,Guessing the english translation of japanese words,"After I heard the gunshots and saw the blood, I was very AFRAID.","After wasting several hours on pointless tasks, I was very ANNOYED.",197.632
4/09/2020 12:40,14,5c6c56cb09331400018ab5db,AFRAID-2,kowa,correct,4130,English,none,no,NA,trying to guess the words from their soundings,"After I heard the gunshots and saw the blood, I was very AFRAID.","After wasting several hours on pointless tasks, I was very ANNOYED.",550.113
4/09/2020 12:40,14,5e716a3a9d1b820932646ea1,AFRAID-2,kowa,incorrect,1839,English,None,no,NA,I was guessing what the words highlighted meant in english within the sentence,"After I heard the gunshots and saw the blood, I was very AFRAID.","After wasting several hours on pointless tasks, I was very ANNOYED.",276.223
4/09/2020 12:42,14,5be9f0151781990001f8819a,AFRAID-2,kowa,incorrect,1709,English,,no,NA,Phonetic test,"After I heard the gunshots and saw the blood, I was very AFRAID.","After wasting several hours on pointless tasks, I was very ANNOYED.",212.327
4/09/2020 12:43,14,5d7101657e53bd000148bdef,AFRAID-2,kowa,correct,5526,english,,no,NA,hearing a japanese word and trying to guess it's meaning in english,"After I heard the gunshots and saw the blood, I was very AFRAID.","After wasting several hours on pointless tasks, I was very ANNOYED.",345.055
4/09/2020 12:44,14,5e553a62ea1449011a8b4a9a,AFRAID-2,kowa,correct,2150,English,Some French,no,NA,Sitting at my desk ,"After I heard the gunshots and saw the blood, I was very AFRAID.","After wasting several hours on pointless tasks, I was very ANNOYED.",404.476
4/09/2020 12:44,14,5f033fb3d68caf21ddc4c93b,AFRAID-2,kowa,incorrect,3479,English,,no,NA,I was guessing the English translation for Japanese words.,"After I heard the gunshots and saw the blood, I was very AFRAID.","After wasting several hours on pointless tasks, I was very ANNOYED.",235.422
4/09/2020 12:44,14,5ebbaca9bef563000953048b,AFRAID-2,kowa,incorrect,2734,English,French,no,NA,listening to Japanese words and listening and working out what they meant in English ,"After I heard the gunshots and saw the blood, I was very AFRAID.","After wasting several hours on pointless tasks, I was very ANNOYED.",314.385
4/09/2020 12:47,14,5d1005df9b7ef700184e458d,AFRAID-2,kowa,incorrect,1455,English,French,no,NA,Guessing the meaning of Japanese words,"After I heard the gunshots and saw the blood, I was very AFRAID.","After wasting several hours on pointless tasks, I was very ANNOYED.",512.434
4/09/2020 12:48,14,5df3b08c27130528a41892d0,AFRAID-2,kowa,incorrect,2613,English,none,no,NA,guessing the english translation of japanese words from audio,"After I heard the gunshots and saw the blood, I was very AFRAID.","After wasting several hours on pointless tasks, I was very ANNOYED.",431.226
4/09/2020 12:49,14,5af07de697a14300017d0c4f,AFRAID-2,kowa,incorrect,2895,English,None,no,NA,"Listening to a computerized voice say Japanese words and then guessing what the word in English was based on its sound and also reading the options in a sentence, although that didn't help at all.","After I heard the gunshots and saw the blood, I was very AFRAID.","After wasting several hours on pointless tasks, I was very ANNOYED.",549.828
4/09/2020 12:50,14,5995928acc135f000193c312,AFRAID-2,kowa,correct,942,English ,,no,NA,,"After I heard the gunshots and saw the blood, I was very AFRAID.","After wasting several hours on pointless tasks, I was very ANNOYED.",522.188
10/09/2020 17:23,14,55c0d464fdf99b34530306b8,AFRAID-2,kowa,correct,1432,English,A little French and a little German,no,NA,I was listening to Japanese words and trying to guess the meaning of them. ,"After I heard the gunshots and saw the blood, I was very AFRAID.","After wasting several hours on pointless tasks, I was very ANNOYED.",229.078
10/09/2020 17:28,14,5f27b56ec810b15ec4e2dfb3,AFRAID-2,kowa,correct,1260,english,none,no,NA,trying to guess what a word means by listening to the sound and matching the sound to a context,"After I heard the gunshots and saw the blood, I was very AFRAID.","After wasting several hours on pointless tasks, I was very ANNOYED.",497.36
10/09/2020 17:33,14,5caccbc4976d010014b9cd9d,AFRAID-2,kowa,incorrect,5994,English,None,no,NA,Sat at the table in my kitchen,"After I heard the gunshots and saw the blood, I was very AFRAID.","After wasting several hours on pointless tasks, I was very ANNOYED.",467.94
11/09/2020 12:41,17,5f2b06c2d8178f4ac866c32f,AFRAID-2,kowa,correct,4652,English,Small amount of Spanish,no,NA,listening to Japanese words and guessing their meaning,"After I heard the gunshots and saw the blood, I was very AFRAID.","After hearing that I'd won the tournament, I was incredibly HAPPY.",470.466
