form,concept,iconic,item,meaning,foils,goodone,done,notes
katai,HARD,y,control,HARD,nuhua|zuwua|ruyua,TRUE,yes,NA
pyoNpyoN,HOPPING,y,control,BOUNCING|HOPPING,neQ|zeQ|reQ,TRUE,yes,NA
hisohiso,WHISPERING,y,control,WHISPERING,nake|dzame|zyage,TRUE,yes,NA
izyiizyi,ANNOYED/IMPATIENT,y,trial,ANNOYED|IMPATIENT,aha|awa|ama,TRUE,yes,NA
omotai,CLEAR,y,trial,FUZZY|BLURRY|HAZY,esyeyua|esewua|etyehua,TRUE,yes,NA
hiyaQkoi,COOL,y,trial,COOL|FRESH,zyatsurea|natunea|dzatyuzea,TRUE,yes,NA
tyikutyiku,CRAMPING (STOMACH),y,trial,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),wani|yazi|gari,TRUE,yes,NA
suQkoi,CUNNING,y,trial,CUNNING|SLY|SNEAKY,girea|kinea|mizea,FALSE,yes,done to investigate the metathesis between suQkoi and koQsui
kaQtarii,EXHAUSTED,y,trial,EXHAUSTED|TIRED|WEARY,ruyuka|zuwukya|nuhuha,TRUE,yes,NA
kutakuta,EXHAUSTED,y,trial,EXHAUSTED|TIRED|WEARY,nihu|ziwu|riyu,FALSE,yes,"done to investigate kutakuta versus guQtari, same root but different expressive forms"
omoreru,HUMID,y,trial,HUMID|MUGGY,esekyokyi|etyehohi|esyekoki,TRUE,yes,NA
zyiNzyiN,POUNDING (HEAD),y,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),maQ|waQ|haQ,TRUE,yes,NA
serasera,PRICKLING,y,trial,PRICKLING|TINGLING|SCRATCHING,goku|kohu|mokyu,TRUE,yes,NA
zuruNzuruN,SLIMY,y,trial,SLIMY|GOOEY|SLIPPERY,gihiQ|kikiQ|kyikyiQ,FALSE,yes,done to give it one more shot? or just to bulk up words? zurunzurun and zuruzuru equally represent this cognate set
yaoi,SOFT,y,trial,SOFT|SQUISHY,tsuea|tyuea|tuea,FALSE,yes,done to compare with other versions of this cognate
yawakoi,SOFT,y,trial,SOFT|SQUISHY,tuzyunea|tsutsurea|tyutyuzea,FALSE,yes,done to compare with other versions of this cognate
neranera,STICKY,y,trial,STICKY|GOOEY|GLOOPY,syohu|kokyu|hoku,FALSE,yes,"done to bulk it up, neranera and nurunuru equally represent this cognate"
tyiraatyiraa,STINGING (PAIN),y,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",gaku|wahu|yakyu,TRUE,yes,NA
syetsu,EXHAUSTED,n,trial,EXHAUSTED|TIRED|WEARY,rohi|nowi|moyi,TRUE,yes,NA
matsupoi,GLARING (OVERLY BRIGHT),n,trial,GLARING (light)|BLINDING (light)|DAZZLING,syuyiyea|suwiwea|tyuhisyea,TRUE,yes,NA
hidarui,HUNGRY,n,trial,HUNGRY|STARVING,zyahukia|nawuhia|dzayukyia,FALSE,yes,done to compare with himozyii
hedzune,SAD,n,trial,SAD|GLUM,dzoyiko|zyohiho|nowisyo,TRUE,yes,NA
koe,SLUGGISH,n,trial,SLUGGISH|LETHARGIC,neo|zeo|reo,TRUE,yes,NA
motyokoi,TICKLING,n,trial,TICKLING,tyewenea|syegerea|seyezea,TRUE,yes,NA
yogoreru,WET,n,trial,WET|SOGGY|DAMP,tyesekyokyi|tsetyekoki|terehohi,TRUE,yes,NA
fuwafuwa,SOFT,y,practice,FLUFFY,rizyu|gityu|nitsu,TRUE,yes,NA
yoroyoro,WOBBLING,y,practice,WOBBLING,tehe|tyekye|tseke,TRUE,yes,NA
zawazawa,(SPINE) TINGLING,y,trial,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),guzyu|kyutyu|kutsu,TRUE,yes,NA
zoNzoN,(SPINE) TINGLING,y,trial,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),geQ|kyeQ|keQ,TRUE,yes,NA
nigai,ACRID (TASTE),y,trial,ACRID (taste)|BITTER (taste),syarua|kasua|hatyua,TRUE,yes,NA
mukamuka,ANNOYED/IMPATIENT,y,trial,ANNOYED|IMPATIENT,tyinu|sizu|syiru,TRUE,yes,NA
yakiyaki,ANNOYED/IMPATIENT,y,trial,ANNOYED|IMPATIENT,tuna|tyuza|tsura,TRUE,yes,NA
yaQkiri,ANNOYED/IMPATIENT,y,trial,ANNOYED|IMPATIENT,tunaha|tyuzakya|tsuraka,TRUE,yes,NA
deQkai,BIG,y,trial,BIG|MASSIVE|LARGE|HUGE,wonua|yozua|horua,TRUE,yes,NA
ookii,BIG,y,trial,BIG|MASSIVE|LARGE|HUGE,ena|eza|era,TRUE,yes,NA
fuku,BLOW,y,trial,BLOW|PUFF,rini|gizi|niri,TRUE,yes,NA
akarui,BRIGHT,y,trial,BRIGHT|SUNNY,unuhia|uzukyia|urukia,TRUE,yes,NA
keQko,CLEAN,y,trial,CLEAN|TIDY,none|zoze|rore,TRUE,yes,NA
kiree,CLEAN,y,trial,CLEAN|TIDY,naho|zakyo|rako,TRUE,yes,NA
saQpari,CLEAN,y,trial,CLEAN|TIDY,kusyuha|muwukya|guyuka,TRUE,yes,NA
boNyari,CLEAR,y,trial,FUZZY|BLURRY|HAZY,tyeQtuha|heQtyukya|syeQtsuka,TRUE,yes,NA
booQ,CLEAR,y,trial,FUZZY|BLURRY|HAZY,tyeN|heN|syeN,TRUE,yes,NA
netyinetyi,CLINGING,y,trial,CLINGY,syowa|koya|hoga,TRUE,yes,NA
syibareru,COLD (WEATHER),y,trial,COLD|CHILLY,masyukoki|nahukyokyi|ratyuhohi,FALSE,yes,NA
suzusyii,COOL,y,trial,COOL|FRESH,kigira|mikyina|gikima,TRUE,yes,NA
semai,CRAMPED,y,trial,CRAMPED|TIGHT,kotyua|mosua|gosyua,TRUE,yes,NA
niyaniya,CRAMPING (STOMACH),y,trial,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),syatu|katyu|hatsu,TRUE,yes,NA
kurai,DARK,y,trial,DARK|DIM,nihua|zikyua|rikua,TRUE,yes,NA
hetoheto,EXHAUSTED,y,trial,EXHAUSTED|TIRED|WEARY,nohe|dzowe|zyoye,TRUE,yes,NA
iQpai,FULL (TO THE BRIM),y,trial,FULL (to the brim)|FULL (to bursting),asyua|awua|ayua,TRUE,yes,NA
mabusyii,GLARING (OVERLY BRIGHT),y,trial,GLARING (light)|BLINDING (light)|DAZZLING,tyutyira|suhina|syusyima,TRUE,yes,NA
musyimusyi,HUMID,y,trial,HUMID|MUGGY,tyira|sina|syima,TRUE,yes,NA
zyimezyime,HUMID,y,trial,HUMID|MUGGY,matyo|waso|hasyo,TRUE,yes,NA
tyikutyiku,ITCHING,y,trial,ITCHING|PRICKLING,wani|yazi|gari,TRUE,yes,NA
piNpiN,LIVELY (ENERGETIC),y,trial,LIVELY|ENERGETIC,syaQ|waQ|yaQ,TRUE,yes,NA
syaNsyaN,LIVELY (ENERGETIC),y,trial,LIVELY|ENERGETIC,ruQ|nuQ|muQ,TRUE,yes,NA
yagurasyika,NOISY,y,trial,LOUD|NOISY,turihuranu|tyusikyunazu|tsutyikumaru,TRUE,yes,NA
yakamasyii,NOISY,y,trial,LOUD|NOISY,tunutyura|tyuzusuna|tsurusyuma,TRUE,yes,NA
kudoi,OILY/HEAVY (FOOD),y,trial,OILY/HEAVY (food),niwea|ziyea|rihea,TRUE,yes,NA
omoi,OILY/HEAVY (FOOD),y,trial,OILY/HEAVY (food),etyea|esea|esyea,FALSE,yes,NA
igaiga,PRICKLING,y,trial,PRICKLING|TINGLING|SCRATCHING,aru|asu|atyu,TRUE,yes,NA
iraira,PRICKLING,y,trial,PRICKLING|TINGLING|SCRATCHING,ahu|akyu|aku,TRUE,yes,NA
syizukaya,QUIET,y,trial,QUIET,raginutu|nakyizutyu|makirutsu,TRUE,yes,NA
dotsuku,RAP (AT THE DOOR),y,trial,RAP (at the door)|KNOCK (at the door),wehini|yewizi|heyiri,TRUE,yes,NA
kiiN,RINGING,y,trial,RINGING (e.g. a ringing sound in your ears),naQ|zaQ|raQ,TRUE,yes,NA
tsuuN,RINGING,y,trial,RINGING (e.g. a ringing sound in your ears),hiQ|wiQ|yiQ,TRUE,yes,NA
zarazara,ROUGH,y,trial,ROUGH|GRITTY|COARSE,guhu|kyukyu|kuku,TRUE,yes,NA
dzugedzuge,RUDE,y,trial,RUDE|ARROGANT|BRAZEN,wiro|yiso|hityo,TRUE,yes,NA
karai,SALTY,y,trial,SALTY|BRINY (taste),nuhua|zukyua|rukua,TRUE,yes,NA
oQkanai,SCARY,y,trial,SCARY|FRIGHTENING,enusyua|ezukua|eruhua,TRUE,yes,NA
boroboro,SHABBY,y,trial,SCRUFFY|TATTY|RAGGEDY,tyehe|hekye|syeke,TRUE,yes,NA
uzyauzya,SHAKING,y,trial,SHAKING|TREMBLING,imu|iwu|ihu,TRUE,yes,NA
subesube,SLICK,y,trial,SLIPPERY|SMOOTH,kityo|miho|gisyo,TRUE,yes,NA
nebaneba,SLIMY,y,trial,SLIMY|GOOEY|SLIPPERY,syotyu|kohu|hosyu,TRUE,yes,NA
nurunuru,SLIMY,y,trial,SLIMY|GOOEY|SLIPPERY,syihi|kikyi|hiki,TRUE,yes,NA
kapokapo,SLOSHING,y,trial,SLOSHING|SPLASHING,nusye|zuwe|ruye,TRUE,yes,NA
osoi,SLOW,y,trial,SLOW,ekea|emea|egea,TRUE,yes,NA
darui,SLUGGISH,y,trial,SLUGGISH|LETHARGIC,wuhia|yukyia|hukia,TRUE,yes,NA
